#feature,bac3,bac4,bac1,bac2,bac5,bac6,vir1,vir4,vir2,vir3,vir5,vir6
ENSG00000022267.19,9.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000029993.15,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000044446.12,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
ENSG00000046647.13,0.0,2.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0
ENSG00000046651.15,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ENSG00000047230.15,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000047597.7,0.0,0.0,10.0,0.0,2.0,0.0,0.0,3.0,16.0,0.0,0.0,1.0
ENSG00000047634.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000047644.19,2.0,1.0,0.0,6.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0
ENSG00000047648.23,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000049768.16,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
ENSG00000049769.14,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
ENSG00000063587.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000063601.17,0.0,0.0,0.0,6.0,1.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0
ENSG00000065923.10,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
ENSG00000067445.21,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
